iteration	composite	generosity	variance	edge_cases	within1	conciseness	prompt_len	status	description
1	0.7428	-0.6667	0.0400	0.0667	0.8800	1.0000	6717	discard	The current score-7 descriptor already says 'minor gaps' but adding 'imprecision does not detract significantly' aligns it with the partial-credit philosophy in bullet 3, making graders more confident awarding 7 for solid but slightly imperfect answers. This nudges well-defined responses toward the higher end of the scale without changing the anchor structure, directly supporting the goal of grading ~1 point higher for gold-score responses.
2	0.7450	-0.6200	0.0000	0.0000	0.8400	1.0000	6628	discard	Bullets 2 and 3 are closely overlapping: bullet 2 says 'evaluate what was demonstrated, not omitted' and bullet 3 says 'award partial credit for understanding even if wording is imprecise.' Merging them removes redundancy, tightens the prompt, and makes the combined intent clearer. This also reinforces the partial-credit philosophy more forcefully in a single statement, reducing ambiguity that causes score variance and nudging graders toward crediting solid but imperfect responses — supporting the goal of grading ~1 point higher for well-defined answers.
3	0.7375	-0.7533	0.0133	0.0000	0.8400	1.0000	6686	discard	The current score-6 descriptor ends with 'does not fully satisfy all core rubric criteria,' which is almost identical to the score-7 descriptor's framing of 'addresses all core rubric criteria at least adequately.' The boundary between 6 and 7 is the most consequential threshold for the goal of grading ~1 point higher for well-defined responses. Sharpening score-6 to explicitly require that at least one core criterion is only *partially* satisfied (rather than merely having 'gaps or minor errors') creates a cleaner decision rule: if all core criteria are at least adequately addressed, the score belongs at 7 or above. This reduces ambiguity at the 6/7 boundary, lowers score variance, and nudges graders to award 7 to solid responses rather than hedging at 6.
4	0.7460	-0.6000	0.0000	0.0000	0.8400	1.0000	6703	discard	The current bullet is clear but does not explicitly discourage penalizing brevity. Adding 'do not penalize brevity' as a direct instruction reduces grader variance: without it, graders may still unconsciously anchor lower on short answers even when criteria are satisfied. This reinforces the equivalence principle more forcefully and nudges scores upward for well-defined concise responses, directly supporting the goal of grading ~1 point higher for gold-score answers.
5	0.7648	-0.4467	0.0133	0.0000	0.9200	1.0000	6678	discard	Shifting the score-8 descriptor language down to score-7 makes score-7 the anchor for 'correctly and completely addresses all rubric criteria,' which directly achieves the goal of grading ~1 point higher for well-defined responses. Currently score-7 says 'at least adequately with minor gaps,' which gives graders permission to park solid responses at 6-7. By making score-7 the threshold for complete criterion coverage, graders will award 7-8 more readily for gold-score responses rather than hedging at 6. Score-8 becomes the anchor for responses that go beyond complete coverage with extra precision or clarity, preserving the full range while shifting calibration upward by roughly one point for well-defined answers.
6	0.7545	-0.5333	0.0133	0.0000	0.8800	1.0000	6852	discard	There is currently no explicit instruction anchoring the starting point for complete responses. Graders frequently hedge at 6 for solid answers because the scale descriptors alone do not create a clear rule: 'all criteria covered = begin at 7.' Adding this bullet as a direct calibration instruction fills that gap. It operationalizes the 6/7 boundary as a binary gate (all core criteria covered or not) rather than a matter of degree, which reduces variance at the most consequential threshold and directly achieves the goal of grading ~1 point higher for well-defined responses without altering the anchor structure.
7	0.7418	-0.6667	0.0133	0.0000	0.8400	1.0000	6678	discard	Bullet 8 ('Instructor custom instructions take absolute precedence') is a critical override rule but is currently buried near the end where graders may not internalize it early enough. Moving it to position 2 (immediately after the proportional-credit rule) ensures graders encounter the precedence hierarchy before any of the base philosophy bullets, reducing variance caused by graders applying base rules when custom instructions should have overridden them. This improves determinism without changing any content, directly addressing the goal of reducing ambiguity and score variance.
8	0.7427	-0.6667	0.0000	0.0000	0.8400	1.0000	6595	discard	Bullet 5 ('Treat scoring-scale descriptors as calibration references when assigning a score') is redundant — the scoring scale descriptors are already present in the prompt and their purpose as references is self-evident. Removing this bullet tightens the prompt without losing any actionable instruction. It also eliminates a subtly softening phrase ('calibration references') that may encourage graders to treat the anchors as loose suggestions rather than firm decision rules, which contributes to score variance. Removing it makes the remaining bullets carry more weight and improves determinism.
9	0.7320	-0.8467	0.0267	0.0000	0.8400	1.0000	6719	discard	The current score-8 descriptor ('correctly and completely addresses all rubric criteria with minimal error') is nearly identical in substance to what a grader would expect at score-7. By adding 'explanation is clear and well-organized' as the differentiating criterion at score-8, the gap between 7 and 8 becomes a matter of communication quality rather than just criterion coverage. This makes score-7 the natural landing point for responses that cover all criteria adequately but without exceptional clarity, while score-8 rewards those that also explain well. The net effect is that graders feel more confident awarding 7 to solid but plainly stated responses rather than hedging at 6, nudging well-defined responses ~1 point higher without collapsing the upper range. This is a different target (score 8) from all prior ADJUST_DESCRIPTOR mutations (scores 6 and 7), satisfying the mutation-log constraint.
10	0.7663	-0.4000	0.0267	0.0000	0.9200	1.0000	6648	discard	Bullet 4 ('use the full scoring range') and bullet 5 ('treat scoring-scale descriptors as calibration references') are thematically coupled: both concern how graders should relate to the scoring anchors. However, bullet 5's phrasing 'calibration references' subtly licenses graders to treat anchors loosely, introducing variance and a tendency to compress toward the middle. Merging them while replacing 'calibration references' with 'firm decision rules' eliminates the softening language, tightens the prompt by one bullet, and makes the instruction more deterministic. The combined bullet now does double duty: it enforces full-range usage and removes the ambiguity about how strictly anchors should be applied, directly reducing score variance and supporting the goal of grading ~1 point higher for well-defined responses by discouraging middle-compression.
