iteration	composite	generosity	variance	edge_cases	within1	conciseness	prompt_len	status	description
1	0.6992	-1.0422	0.0533	0.0667	0.7200	1.0000	6546	keep	Tightening the score-7 descriptor to explicitly allow minor gaps reduces ambiguity at the competent/proficient boundary, which is the key threshold where well-defined responses (gold score ≥7) tend to be under-awarded. Adding 'with minor gaps' signals that a response need not be exhaustive to earn a 7, calibrating graders to score slightly higher for solid but not perfect answers.
1	0.6918	-1.0867	0.0400	0.0667	0.6800	1.0000	6546	keep	Adding 'with minor gaps' to the score-7 descriptor clarifies that minor omissions do not prevent a 7, reducing evaluator hesitation to award 7 for near-complete responses and pushing well-defined answers ~1 point higher on average. This directly targets the optimization goal of grading well-defined responses higher.
1	0.6943	-1.1533	0.0000	0.0000	0.6800	1.0000	6550	keep	Adding 'correctly' and 'only minor gaps' raises the effective floor for a 7, which pushes well-defined responses that fully hit most criteria toward an 8, achieving the ~1 point higher grading goal for gold-score responses while reducing ambiguity about what 'adequately' means.
2	0.6962	-1.1533	0.0133	0.0667	0.7200	1.0000	6578	keep	Adding 'correctly' and 'with sufficient explanation' to the 8 descriptor raises the effective bar between 7 and 8, creating a clearer gap: a 7 covers most criteria with minor gaps, while an 8 requires all criteria addressed correctly. This pushes well-defined responses that hit all rubric points solidly toward an 8 (or higher), contributing to the ~1 point higher grading goal for gold-score responses and reducing score variance at the 7-8 boundary.
1	0.6910	-1.0867	0.0533	0.0667	0.6800	1.0000	6544	keep	Raising the bar slightly for score 7 by adding 'with reasonable accuracy' tightens the descriptor and reduces ambiguity about what 'adequately' means, which should reduce score variance around the 6-7 boundary and help well-defined responses score closer to 8 when they meet all criteria correctly.
1	0.7037	-1.0200	0.0533	0.0000	0.7200	1.0000	6551	keep	The current descriptor for 7 ('addresses most rubric criteria adequately') is vague enough that graders may anchor toward 6 instead. Adding 'with only minor gaps' clarifies that a 7 is a solidly good response, nudging scores upward for well-defined responses that meet most criteria — directly supporting the goal of grading ~1 point higher for gold-score ≥7 responses.
1	0.7271	-0.8533	0.0467	0.0667	0.8400	1.0000	6556	keep	Strengthening the score-7 descriptor to require 'reasonable accuracy and clarity' (not just 'adequately') raises the calibration signal for well-defined responses at this tier, nudging scores upward toward 8 when a response genuinely meets most criteria well — directly supporting the goal of grading ~1 point higher for gold-score ≥7 responses while reducing ambiguity around what 'adequately' means.
1	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	keep	Adding 'correctly' and 'only minor gaps' raises the bar slightly for what counts as competent, which pushes well-defined responses that currently land at 7 to be scored more generously at 8 when they meet all criteria — contributing to the goal of grading ~1 point higher for gold-score responses. The original descriptor was vague enough that graders could assign 7 to responses with notable errors, compressing scores downward.
2	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
3	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
4	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
5	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
6	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
7	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
8	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
9	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
10	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
11	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
12	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
13	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
14	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
15	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
16	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
17	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
18	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
19	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
20	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
21	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
22	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
23	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
24	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
25	0.7300	-0.8000	0.0000	0.0000	0.8000	1.0000	6550	skipped	invalid mutation proposal from LLM
1	0.7333	-0.7333	0.0000	0.0000	0.8000	1.0000	6546	keep	The current descriptor for score 7 is too sparse and lacks contrast with score 6. Adding 'with minor gaps' creates a clearer boundary between 6 and 7, reducing score variance at this threshold and supporting the goal of grading ~1 point higher for well-defined responses that meet most criteria.
2	0.7333	-0.7333	0.0000	0.0000	0.8000	1.0000	6546	skipped	invalid mutation proposal from LLM
3	0.7333	-0.7333	0.0000	0.0000	0.8000	1.0000	6546	skipped	invalid mutation proposal from LLM
